"Week
#","Start
Time","End
Time","Duration
Text",List,List ID,Task,Task ID,Department,Priority,Section,"Task
Category","Task
Type"
W01,12:00:00 AM,5:50:00 AM,5:50:00,🌼 Survival Mode,901306296518,🛏️ Sleep,86a647u0q,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,5:51:31 AM,6:21:43 AM,0:30:12,🌼 Survival Mode,901306296518,💩 Poop,86a5mn4v6,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,6:21:53 AM,6:26:59 AM,0:05:06,🌼 Survival Mode,901306296518,🪣 Soak butt,86a9d32yr,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,6:27:07 AM,6:28:00 AM,0:00:53,🌈 Personal,901301650324,⚖️ Weigh myself,86a5q5pxt,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,6:28:07 AM,6:34:38 AM,0:06:31,🌼 Survival Mode,901306296518,👗 Put on clothes,86a64a6vp,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,6:34:38 AM,6:39:07 AM,0:04:29,🌈 Personal,901301650324,💯 Update daily KPIs,86a2hpd34,9.04. Character,🌱 Routine,9.04. Consistency,,
W01,6:39:07 AM,6:48:18 AM,0:09:11,🚀 On Business,900601952633,✏️ Plan for things,86a27xgca,2. Gain traction,📌 Job Must,"2.1. Plan (Y, Q, M, W, D)",🙂 👌 Work,Owner
W01,6:48:18 AM,6:53:45 AM,0:05:27,👩🏻‍💻 In Business,901301162602,🗃️ Work on bookkeeping,86a2fy00y,7. Fulfill fin and legal obligations,📌 Job Must,7.2. Handle bookkeeping,☹️ 👎 Incompetence,Admin
W01,6:53:45 AM,6:57:03 AM,0:03:18,🚀 On Business,900601952633,🤖 Automate tasks,86a5h21yb,5. Build processes,📌 Job Must,5.7. Automate tasks,🙂 👌 Work,Owner
W01,6:57:03 AM,7:02:10 AM,0:05:07,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,7:02:10 AM,7:13:28 AM,0:11:18,🌈 Personal,901301650324,🩺 Measure blood pressure,,,🌱 Routine,,,
W01,7:13:28 AM,7:28:09 AM,0:14:41,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
